date,time,day,hour,is_holiday,is_weekend,segment_1,segment_2,segment_3,segment_4,segment_5,segment_6,segment_7,segment_8,segment_9,segment_10
05/01/26,15:51:09,Monday,15,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,16:06:22,Monday,16,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,16:21:34,Monday,16,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,16:36:46,Monday,16,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,16:51:57,Monday,16,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,17:07:08,Monday,17,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,17:22:20,Monday,17,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,17:37:33,Monday,17,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,17:52:44,Monday,17,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,18:07:55,Monday,18,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,18:23:06,Monday,18,0,0,1,1,1,1,1,1,1,1,1,1
05/01/26,18:38:19,Monday,18,0,0,1,1,1,1,1,1,1,1,1,1
05/01/26,18:53:30,Monday,18,0,0,1,1,1,1,1,1,1,1,1,1
05/01/26,19:08:41,Monday,19,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,19:23:52,Monday,19,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,19:39:05,Monday,19,0,0,1,1,1,1,1,1,1,1,1,1
05/01/26,19:54:17,Monday,19,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,20:09:28,Monday,20,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,20:24:39,Monday,20,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,20:39:52,Monday,20,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,20:55:04,Monday,20,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,21:10:15,Monday,21,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,21:25:26,Monday,21,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,21:40:39,Monday,21,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,21:55:50,Monday,21,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,22:11:02,Monday,22,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,22:26:13,Monday,22,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,22:41:25,Monday,22,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,22:56:38,Monday,22,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,23:11:50,Monday,23,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,23:27:03,Monday,23,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,23:42:15,Monday,23,0,0,1,3,1,1,1,1,1,1,1,1
05/01/26,23:57:27,Monday,23,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,00:12:40,Tuesday,0,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,00:27:51,Tuesday,0,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,00:43:04,Tuesday,0,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,00:58:15,Tuesday,0,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,01:13:26,Tuesday,1,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,01:28:38,Tuesday,1,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,01:43:49,Tuesday,1,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,01:59:00,Tuesday,1,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,02:14:11,Tuesday,2,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,02:29:23,Tuesday,2,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,02:44:34,Tuesday,2,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,02:59:46,Tuesday,2,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,03:14:58,Tuesday,3,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,03:30:10,Tuesday,3,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,03:45:21,Tuesday,3,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,04:00:32,Tuesday,4,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,04:15:44,Tuesday,4,0,0,1,3,1,1,1,1,1,1,1,1
